Date,Close,High,Low,Open,Volume,price_range
2025-01-02,189.2120819091797,191.7791328258186,187.2843094002135,190.43067970164262,20370800,High
2025-01-03,191.56936645507812,192.9877463613902,189.76145103861666,191.14985143368122,18596200,High
2025-01-06,196.64352416992188,197.99197728329852,193.6270092243641,193.75684931380115,29563600,High
2025-01-07,195.26512145996094,200.7687774852745,194.37614589069548,196.8832529983184,26487200,High
2025-01-08,193.7268829345703,196.06418741382137,192.1586969389352,192.3484808074723,24864800,High
2025-01-10,191.81907653808594,196.29393386115163,190.09107094303815,194.07648645979594,26665200,High
2025-01-13,190.79026794433594,190.96007055747594,187.14447278422705,189.8513620671916,21823700,High
2025-01-14,189.4418182373047,191.75914137705388,188.0933651847724,191.02000242961614,17174900,High
2025-01-15,195.32504272460938,196.1341084636535,191.6392852545324,192.8678659974796,21776000,High
2025-01-16,192.68807983398438,195.2551153784116,192.58818877757312,193.91666057341888,17815400,High
2025-01-17,195.77452087402344,197.00310160992169,193.52710928235737,196.3039099407615,27735100,High
2025-01-21,197.82217407226562,202.05728678766425,197.6423732117847,198.84100497169504,29971300,High
2025-01-22,198.1417999267578,200.24937329507208,197.30276987978317,198.83100862292844,26200600,High
2025-01-23,197.7522430419922,200.06958147081755,194.97544232412307,197.91206263871854,26951400,High
2025-01-24,199.9796905517578,200.66888399183227,197.77222616967978,197.87211722888603,23877500,High
2025-01-27,191.58934020996094,196.65351502081776,190.5105808080997,192.18865606918456,41728900,High
2025-01-28,195.07533264160156,195.2551182563093,190.4606370613745,192.52826307792662,24157900,High
2025-01-29,195.18521118164062,196.5636133163606,193.20747792712066,195.33503253066368,18218300,High
2025-01-30,200.638916015625,201.16830508891937,197.44260031613962,197.7722225159478,24354700,Very High
2025-01-31,203.78530883789062,205.24362078448016,201.56786140671954,201.76762828746982,32042000,Very High
2025-02-03,200.99850463867188,203.5156099470352,199.8698149328218,200.45913255035472,27838300,Very High
2025-02-04,206.14259338378906,206.81182081300247,202.57669285659674,203.15602747619252,43856400,Very High
2025-02-05,191.1099090576172,192.52827375908595,187.81370210065404,190.85021363044225,70373900,High
2025-02-06,191.3795928955078,191.87901770448227,188.50290111861952,189.28200260132084,29297400,High
2025-02-07,185.1267852783203,190.9600634127379,183.02921021692137,190.83022332592188,49315000,High
2025-02-10,186.2554931640625,187.98349876976383,185.64619427540677,187.1344857224474,23105600,High
